X,Y,OBJECTID,vendor_number,name,dba,address_1,address_2,address_city,address_state,address_zip,start_date,exp_date,entity,business_type,cbe_mbe,cbe_wbe,cbe_dbe,dvbe,in_lac,sup_dist,spa
6381047.40510789,1889286.94348723,1,160394,MAKEBA GROUP LLC,,6150 CANOGA AVENUE,403,WOODLAND HILLS,CA,91367,2019/11/08 00:00:00+00,2021/11/08 00:00:00+00,Limited Liability Company,Services,No,Yes,Yes,No,Yes,District 3,SPA 2 - San Fernando
6423713.1166923,1974576.38478464,2,192877,CERVUS INC.,,18565 SOLEDAD CANYON RD,# 198,CANYON CNTRY,CA,91351-3700,2020/07/08 00:00:00+00,2022/07/31 00:00:00+00,Corporation,Contractors / Construction,Yes,Yes,Yes,No,Yes,District 5,SPA 2 - San Fernando
6547343.38583547,1771486.45402306,3,194599,"POLYTECHNIQUE ENVIRONMENTAL, INC.",,13337 SOUTH ST,# 144,CERRITOS,CA,90703-7308,2020/09/25 00:00:00+00,2022/09/30 00:00:00+00,Corporation,Landscaping & Gardening,Yes,Yes,Yes,No,Yes,District 4,SPA 7 - East
6423713.1166923,1974576.38478464,4,192877,CERVUS INC.,,18565 SOLEDAD CANYON RD,# 198,CANYON CNTRY,CA,91351-3700,2019/11/13 00:00:00+00,2021/11/30 00:00:00+00,Corporation,Contractors / Construction,No,No,No,Yes,Yes,District 5,SPA 2 - San Fernando
6413183.69582206,1828994.45941365,5,187652,ZODIAQUE FOR RONDA BARTEE,,1507 7TH ST,# 245,SANTA MONICA,CA,90401-2605,2021/03/05 00:00:00+00,2023/06/13 00:00:00+00,,,Yes,Yes,Yes,No,Yes,District 3,SPA 5 - West
6428603.73716038,1844580.08145756,6,193676,BEL AIR BRANDING,,10787 WILSHIRE BLVD,#1102,LOS ANGELES,CA,90024,2019/11/19 00:00:00+00,2021/11/19 00:00:00+00,Partnerships,Services,Yes,No,No,No,Yes,District 3,SPA 5 - West
6431507.22774448,1837658.70980164,7,174941,"EVITARUS, INC.",,2355 WESTWOOD BLVD,#1107,LOS ANGELES,CA,90064,2019/10/17 00:00:00+00,2021/10/17 00:00:00+00,Corporation,Services,Yes,No,Yes,No,Yes,District 3,SPA 5 - West
6409051.15848348,1914878.53895748,8,193822,ALISA TIMSUREN,PICA AND POINT,10030 OAK PARK AVE,,NORTHRIDGE,CA,91325-1635,2019/11/27 00:00:00+00,2021/11/27 00:00:00+00,Sole Proprietorships,Services,Yes,Yes,No,No,Yes,District 3,SPA 2 - San Fernando
6489680.96015005,1871307.26586398,9,132410,LIFELUNG INC,TRIDANT SOLUTIONS,1013 MARION DR,,GLENDALE,CA,91205,2021/04/03 00:00:00+00,2023/08/11 00:00:00+00,Corporation,Services,Yes,Yes,No,No,Yes,District 5,SPA 2 - San Fernando
6521756.15256122,1872177.23525265,10,187524,ANGELICA URQUIJO,,530 S. LAKE,# 837,PASADENA,CA,91101,2020/07/31 00:00:00+00,2022/07/31 00:00:00+00,Sole Proprietorships,Services,Yes,Yes,No,No,Yes,District 5,SPA 3 - San Gabriel
